label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
containerized-2024-08-12 23:18:10.426192-boost,2.243499994277954,269.6133,119.96489999999996,101.61380004882812,368.7734,17.25
containerized-2024-08-12 23:22:31.090681-boost,2.515000104904175,268.6328,119.35939999999997,113.50200009346008,352.9922,34.76170000000002
containerized-2024-08-13 07:56:11.881780-boost,3.600300073623657,267.3008,118.1992,104.44069981575012,366.5039,18.75
containerized-2024-08-13 08:00:11.172140-boost,2.207200050354004,263.9844,114.5391,96.9411997795105,354.8828,37.64059999999995
containerized-2024-08-13 08:03:56.618858-boost,1.7533998489379885,267.9219,118.3946,92.73539996147156,367.0117,18.75
containerized-2024-08-13 17:07:19.672348-boost,2.6075000762939453,269.2773,119.82030000000005,96.99279999732973,368.0117,18.375
containerized-2024-08-13 17:11:58.546335-boost,3.820300102233887,269.6016,120.23440000000002,133.01120018959045,369.4297,19.25
containerized-2024-08-13 17:16:49.691704-boost,2.399199962615967,266.3594,117.0664,121.25480008125304,354.6289,34.7851
containerized-2024-08-13 19:17:57.639255-boost,2.353399991989136,268.6055,119.5078,101.7824001312256,367.9453,18.875
containerized-2024-08-13 19:22:50.155429-boost,1.7833001613616943,268.6953,119.28509999999996,97.427099943161,368.1523,18.625
containerized-2024-08-13 19:26:59.421333-boost,2.343600034713745,266.5039,117.00779999999996,109.76959991455078,364.1602,17.25
containerized-2024-08-13 19:59:25.981388-boost,2.472900152206421,269.668,119.8282,120.58170008659364,368.3242,18.375
containerized-2024-08-13 20:04:04.708627-boost,2.3633999824523926,266.707,116.6172,120.83419990539552,364.1133,17.125
containerized-2024-08-13 20:08:28.659819-boost,2.655900001525879,267.9609,118.8867,105.41190004348756,367.5234,19.0
containerized-2024-08-13 21:19:42.995549-boost,2.0614001750946045,270.125,120.2773,97.47429990768433,369.5195,19.125
containerized-2024-08-13 21:23:57.644893-boost,2.469899892807007,273.1953,123.80079999999998,116.4744999408722,354.7773,31.378900000000044
containerized-2024-08-13 21:28:26.993055-boost,2.377999782562256,268.4297,119.57030000000005,116.41799998283386,367.3477,18.5
containerized-2024-08-13 21:34:25.332394-boost,2.249000072479248,267.8594,118.2813,100.480299949646,366.75,18.5
containerized-2024-08-13 21:38:54.485401-boost,2.2927000522613525,269.2383,119.73049999999998,124.13439989089966,368.3555,18.625
containerized-2024-08-13 21:43:30.720431-boost,2.3573999404907227,268.7266,119.33210000000004,115.93530011177064,367.8789,18.75
containerized-2024-08-13 22:07:08.214699-boost,2.5096001625061035,267.9648,118.41400000000002,114.76719999313354,366.9922,18.75
containerized-2024-08-13 22:11:11.831766-boost,1.6596999168395996,264.7344,115.1602,92.26839995384216,353.5625,34.81639999999999
containerized-2024-08-13 22:14:50.419825-boost,1.813999891281128,266.7266,117.28520000000005,94.34299993515016,364.6445,17.375
containerized-2024-08-13 22:30:19.719239-boost,2.296299934387207,267.1914,117.2773,118.93469977378844,364.7734,17.125
containerized-2024-08-13 22:34:55.035541-boost,2.345999956130981,262.4883,113.49999999999996,120.46200013160706,365.6445,20.25
containerized-2024-08-13 22:39:07.613159-boost,2.4254000186920166,267.7109,118.71089999999998,99.8641002178192,367.2695,19.125
containerized-2024-08-15 17:04:36.794974-boost,2.692499876022339,268.9297,119.48830000000004,118.5320999622345,353.543,34.89850000000001
containerized-2024-08-15 17:08:55.670930-boost,2.4795000553131104,268.4258,119.56249999999996,100.80680012702942,367.4531,18.625
containerized-2024-08-15 17:09:41.579575-boost,2.639000177383423,269.9102,120.0313,121.84680008888245,368.9492,17.0
containerized-2024-08-15 17:29:46.649141-boost,1.6307001113891602,269.5,119.8555,89.0417001247406,367.2812,17.375
containerized-2024-08-15 17:33:49.992569-boost,2.3560001850128174,266.9375,117.4492,116.46169996261597,366.7422,19.25
